source,case_id,g_level,omega_rad_s,R_m,rho_kgm3,mu_Pas,T_K,p_Pa,P_w_W,error_pct,geometry_id,data_origin,notes,geometry_type,R_chamber_m,gap_radial_m,h_rotor_m,H_pole_m,H_chamber_m,gap_axial_m,geom_confidence,Cp,Re_Omega,M_tip,Pi_confinement,Pi_gap,Pi_aspect_axial,Pi_blockage
Zheng2024,Z01,1.0,105.29,0.235,1.145,1.7894e-05,293.15,101325.0,36.5,83.08,Zheng_scaled_model,table_extraction,"omega=105.3 rad/s, error=83.1%",arm_in_cylinder,0.3,0.065,0.05,,0.3,,low,0.0762108288667678,372066.7869816699,0.0720887085389562,0.7833333333333333,0.2765957446808511,0.2127659574468085,0.0831142480591008
Zheng2024,Z02,1.0,209.03,0.235,1.145,1.7894e-05,293.15,101325.0,204.06,22.3,Zheng_scaled_model,table_extraction,"omega=209.0 rad/s, error=22.3%",arm_in_cylinder,0.3,0.065,0.05,,0.3,,low,0.0544524240913408,738656.2872331507,0.1431161814597589,0.7833333333333333,0.2765957446808511,0.2127659574468085,0.0831142480591008
Zheng2024,Z03,1.0,313.98,0.235,1.145,1.7894e-05,293.15,101325.0,727.42,8.57,Zheng_scaled_model,table_extraction,"omega=314.0 rad/s, error=8.6%",arm_in_cylinder,0.3,0.065,0.05,,0.3,,low,0.0572749184927467,1109521.6048675536,0.2149721028308622,0.7833333333333333,0.2765957446808511,0.2127659574468085,0.0831142480591008
Zheng2024,Z04,1.0,418.68,0.235,1.145,1.7894e-05,293.15,101325.0,1750.12,2.91,Zheng_scaled_model,table_extraction,"omega=418.7 rad/s, error=2.9%",arm_in_cylinder,0.3,0.065,0.05,,0.3,,low,0.058117427029855,1479503.489158377,0.2866568571667793,0.7833333333333333,0.2765957446808511,0.2127659574468085,0.0831142480591008
Zheng2024,Z05,1.0,523.56,0.235,1.145,1.7894e-05,293.15,101325.0,3370.72,3.12,Zheng_scaled_model,table_extraction,"omega=523.6 rad/s, error=3.1%",arm_in_cylinder,0.3,0.065,0.05,,0.3,,low,0.0572411695193145,1850121.4454565772,0.3584648517680304,0.7833333333333333,0.2765957446808511,0.2127659574468085,0.0831142480591008
Zheng2024,Z06,1.0,671.6,0.235,1.145,1.7894e-05,293.15,101325.0,6825.11,1.46,Zheng_scaled_model,table_extraction,"omega=671.6 rad/s, error=1.5%",arm_in_cylinder,0.3,0.065,0.05,,0.3,,low,0.0549114346503472,2373255.334190232,0.459823123323801,0.7833333333333333,0.2765957446808511,0.2127659574468085,0.0831142480591008
Zheng2024,Z07,1.0,733.04,0.235,1.145,1.7894e-05,293.15,101325.0,8692.58,1.87,Zheng_scaled_model,table_extraction,"omega=733.0 rad/s, error=1.9%",arm_in_cylinder,0.3,0.065,0.05,,0.3,,low,0.0537837244525828,2590367.9127081702,0.5018891338911243,0.7833333333333333,0.2765957446808511,0.2127659574468085,0.0831142480591008
Zheng2024,Z08,1.0,906.75,0.235,1.145,1.7894e-05,293.15,101325.0,16345.88,1.4,Zheng_scaled_model,table_extraction,"omega=906.8 rad/s, error=1.4%",arm_in_cylinder,0.3,0.065,0.05,,0.3,,low,0.0534356148834725,3204212.7371605006,0.6208228366197983,0.7833333333333333,0.2765957446808511,0.2127659574468085,0.0831142480591008
Liu2024,Liu2024_01,200.0,44.27,1.0,1.2002561061321113,1.836922107566826e-05,293.15,101000.0,4649.020339523621,1.0,Liu_CHIEF_model,digitized_from_figure_pixel,"200g, 101kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.0892871481849336,2892628.7946336092,0.12897982379040634,0.8695652173913044,0.15,0.2,0.0962752018703336
Liu2024,Liu2024_02,200.0,44.27,1.0,0.5941861911545105,1.836922107566826e-05,293.15,50000.0,2341.010943199629,1.0,Liu_CHIEF_model,digitized_from_figure_pixel,"200g, 50kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.09082017176957717,1431994.4527889155,0.12897982379040634,0.8695652173913044,0.15,0.2,0.0962752018703336
