pressure_kpa,g_level,omega_rad_s,rho_kgm3,y_px,x_exp_px,x_est_px,wrp_experiment_kW,wrp_estimation_kW,est_theory_kW,method,wrp_old_kW,delta_pct
101,1000,98.99,1.223254617378986,1364.7624633431085,1755.2593659942363,1940.099706744868,47.88277696266522,58.67074890850719,64.07440711717518,centroide,53.0,-9.655137806292036
101,800,88.54,1.223254617378986,1430.046783625731,1552.6156069364163,1691.53216374269,36.05573109790449,44.163419666066375,45.84892701576385,centroide,32.0,12.674159680951536
50,1000,98.99,0.6055715927618742,1495.4718100890207,1346.6932153392331,1439.632047477745,24.03733200520802,29.461589013813192,31.720003523354052,centroide,22.0,9.260600023672815
101,600,76.68,1.223254617378986,1560.8134110787173,1334.2267441860465,1424.2886297376094,23.309742234933452,28.566089906520244,29.782211001025267,centroide,19.0,22.682853868070808
50,800,88.54,0.6055715927618742,1626.158357771261,1243.9273255813953,1313.7653958944281,18.039531248106492,22.11554160509434,22.697488621665272,centroide,16.0,12.747070300665575
30,1000,98.99,0.36334295565712454,1691.52802359882,1183.367952522255,1239.3067846607669,14.505060282695496,17.7698592402324,19.03200211401243,centroide,14.0,3.6075734478249633
101,400,62.61,1.223254617378986,1756.8808139534883,1162.0579710144928,1213.1220930232557,13.26133025201838,16.241622938303664,16.21219186961937,centroide,12.5,6.090642016147041
50,600,76.68,0.6055715927618742,1822.1637426900584,1140.0,1186.204678362573,11.973944762897386,14.67062218687247,14.743668812388748,centroide,11.0,8.854043299067138
30,800,88.54,0.36334295565712454,1887.55,1120.9563953488373,1162.714705882353,10.862488941672675,13.299659749256705,13.61849317299916,centroide,10.0,8.624889416726745
30,600,76.68,0.36334295565712454,1952.9235294117648,1057.9420289855072,1085.7823529411764,7.184735407179206,8.80960058854187,8.846201287433248,centroide,7.5,-4.20352790427726
50,400,62.61,0.6055715927618742,2018.2375366568915,1047.539358600583,1072.900293255132,6.577596750008015,8.057755520883207,8.02583755921751,centroide,6.5,1.193796153969462
101,200,44.27,1.223254617378986,2083.5555555555557,1014.4952681388013,1033.2602339181287,4.649020339523621,5.744213756555759,5.731115876970481,centroide,5.0,-7.019593209527586
30,400,62.61,0.36334295565712454,2149.0,1001.95,1017.5373563218391,3.9168316831683625,4.826567956251203,4.815502535530506,borde izquierdo (ocluido),4.0,-2.0792079207909375
50,200,44.27,0.6055715927618742,2214.2865329512892,974.95,983.6303724928367,2.341010943199629,2.847629869305782,2.837186077708159,borde izquierdo (ocluido),2.5,-6.35956227201484
30,200,44.27,0.36334295565712454,2279.66,958.95,964.1628571428571,1.407191245440379,1.7114330380406861,1.702311646624895,borde izquierdo (totalmente ocluido),1.5,-6.187250303974734
