source,case_id,g_level,omega_rad_s,R_m,rho_kgm3,mu_Pas,T_K,p_Pa,P_w_W,error_pct,geometry_id,data_origin,notes,geometry_type,R_chamber_m,gap_radial_m,h_rotor_m,H_pole_m,H_chamber_m,gap_axial_m,geom_confidence,Cp,Re_Omega,M_tip,Pi_confinement,Pi_gap,Pi_aspect_axial,Pi_blockage
Zheng2024,Z01,1.0,105.29,0.235,1.145,1.7894e-05,293.15,101325.0,36.5,83.08,Zheng_scaled_model,table_extraction,"omega=105.3 rad/s, error=83.1%",arm_in_cylinder,0.3,0.065,0.05,,0.3,,low,0.07621082886676785,372066.7869816699,0.07208870853895624,0.7833333333333333,0.2765957446808511,0.21276595744680854,0.08311424805910089
Zheng2024,Z02,1.0,209.03,0.235,1.145,1.7894e-05,293.15,101325.0,204.06,22.3,Zheng_scaled_model,table_extraction,"omega=209.0 rad/s, error=22.3%",arm_in_cylinder,0.3,0.065,0.05,,0.3,,low,0.054452424091340816,738656.2872331507,0.14311618145975896,0.7833333333333333,0.2765957446808511,0.21276595744680854,0.08311424805910089
Zheng2024,Z03,1.0,313.98,0.235,1.145,1.7894e-05,293.15,101325.0,727.42,8.57,Zheng_scaled_model,table_extraction,"omega=314.0 rad/s, error=8.6%",arm_in_cylinder,0.3,0.065,0.05,,0.3,,low,0.05727491849274671,1109521.6048675536,0.2149721028308622,0.7833333333333333,0.2765957446808511,0.21276595744680854,0.08311424805910089
Zheng2024,Z04,1.0,418.68,0.235,1.145,1.7894e-05,293.15,101325.0,1750.12,2.91,Zheng_scaled_model,table_extraction,"omega=418.7 rad/s, error=2.9%",arm_in_cylinder,0.3,0.065,0.05,,0.3,,low,0.05811742702985508,1479503.489158377,0.28665685716677936,0.7833333333333333,0.2765957446808511,0.21276595744680854,0.08311424805910089
Zheng2024,Z05,1.0,523.56,0.235,1.145,1.7894e-05,293.15,101325.0,3370.72,3.12,Zheng_scaled_model,table_extraction,"omega=523.6 rad/s, error=3.1%",arm_in_cylinder,0.3,0.065,0.05,,0.3,,low,0.05724116951931451,1850121.4454565775,0.35846485176803045,0.7833333333333333,0.2765957446808511,0.21276595744680854,0.08311424805910089
Zheng2024,Z06,1.0,671.6,0.235,1.145,1.7894e-05,293.15,101325.0,6825.11,1.46,Zheng_scaled_model,table_extraction,"omega=671.6 rad/s, error=1.5%",arm_in_cylinder,0.3,0.065,0.05,,0.3,,low,0.05491143465034722,2373255.3341902317,0.45982312332380104,0.7833333333333333,0.2765957446808511,0.21276595744680854,0.08311424805910089
Zheng2024,Z07,1.0,733.04,0.235,1.145,1.7894e-05,293.15,101325.0,8692.58,1.87,Zheng_scaled_model,table_extraction,"omega=733.0 rad/s, error=1.9%",arm_in_cylinder,0.3,0.065,0.05,,0.3,,low,0.05378372445258281,2590367.9127081702,0.5018891338911243,0.7833333333333333,0.2765957446808511,0.21276595744680854,0.08311424805910089
Zheng2024,Z08,1.0,906.75,0.235,1.145,1.7894e-05,293.15,101325.0,16345.88,1.4,Zheng_scaled_model,table_extraction,"omega=906.8 rad/s, error=1.4%",arm_in_cylinder,0.3,0.065,0.05,,0.3,,low,0.053435614883472565,3204212.7371605006,0.6208228366197983,0.7833333333333333,0.2765957446808511,0.21276595744680854,0.08311424805910089
Liu2024,Liu2024_01,200.0,44.27,1.0,1.223255,1.836922107566826e-05,293.15,101000.0,5000.0,5.0,Liu_CHIEF_model,digitized_from_figure,"200g, 101kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.0942224590613676,2948056.3507252545,0.12897982379040634,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_02,200.0,44.27,1.0,0.605572,1.836922107566826e-05,293.15,50000.0,2500.0,5.0,Liu_CHIEF_model,digitized_from_figure,"200g, 50kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.09516464942163212,1459434.3619452966,0.12897982379040634,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_03,200.0,44.27,1.0,0.363343,1.836922107566826e-05,293.15,30000.0,1500.0,5.0,Liu_CHIEF_model,digitized_from_figure,"200g, 30kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.09516470180444914,875660.1351652486,0.12897982379040634,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_04,200.0,44.27,1.0,0.121114,1.836922107566826e-05,293.15,10000.0,460.0,10.0,Liu_CHIEF_model,computed_from_fitted_constant,"200g, 10kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08755176662184733,291885.90838520054,0.12897982379040634,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_05,400.0,62.61,1.0,1.223255,1.836922107566826e-05,293.15,101000.0,12500.0,5.0,Liu_CHIEF_model,digitized_from_figure,"400g, 101kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08327063907159445,4169365.442035423,0.18241307358295328,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_06,400.0,62.61,1.0,0.605572,1.836922107566826e-05,293.15,50000.0,6500.0,5.0,Liu_CHIEF_model,digitized_from_figure,"400g, 50kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08746744781910673,2064043.0404652136,0.18241307358295328,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_07,400.0,62.61,1.0,0.363343,1.836922107566826e-05,293.15,30000.0,4000.0,5.0,Liu_CHIEF_model,digitized_from_figure,"400g, 30kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08971025227184078,1238425.1425953517,0.18241307358295328,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_08,400.0,62.61,1.0,0.121114,1.836922107566826e-05,293.15,10000.0,1310.0,10.0,Liu_CHIEF_model,computed_from_fitted_constant,"400g, 10kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08814056543934176,412807.2447254891,0.18241307358295328,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_09,600.0,76.68,1.0,1.223255,1.836922107566826e-05,293.15,101000.0,19000.0,5.0,Liu_CHIEF_model,digitized_from_figure,"600g, 101kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.06890016856323454,5106323.943384064,0.2234057575841057,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_10,600.0,76.68,1.0,0.605572,1.836922107566826e-05,293.15,50000.0,11000.0,5.0,Liu_CHIEF_model,digitized_from_figure,"600g, 50kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08057690498917719,2527884.0495587382,0.2234057575841057,0.8695652173913044,0.15,0.2,0.09627520187033368
