model,rmse_log,mae_log,r2_log,r2_orig,logo_cv_facility,n_params,note
Cp_global_power,0.5691677064776494,0.437242184855886,0.8284312294068493,0.7290593411769615,0.4525971784455734,2,
Class_SR,0.199360500842492,0.1220254984786932,0.9789507818423374,0.8342313596377794,-1.0012986247646127,13,
Cp_const_global,1.3741088332358518,1.2017824203646443,0.0,-0.2616576425666557,-1.199058365689175,1,
Cp_const_facility,0.6144690879734832,0.4117177489019505,0.800033236875581,0.5381817487915084,-1.199058365689175,4,
Cp_const_geometry,0.2349533337654063,0.1452255511219773,0.970763797558204,0.7942028293688423,-1.199058365689175,12,
Windage_classic_Cp_const,0.2349533337654063,0.1452255511219773,0.970763797558204,0.7942028293688423,-1.199058365689175,12,P∝ρω³R⁵ → Cp=const per geometry
Vrancik_1968_corr,2.5867299147717,2.3863521529756384,-2.543724150946948,-0.943167829573827,-2.543724150946948,0,C_M=0.065*Re^-0.2 (smooth turbulent approx)
Daily_Nece_1960,2.927943694149408,2.7189666634231675,-3.5402856660882547,-0.9936263106526502,-3.5402856660882547,0,"C_M=0.0622*(s/R)^0.1*Re^-0.2, no free params"
IRM,,,,,0.1978160980095035,13,"Arjovsky2019, facility as environment, lambda=1.0"
GroupDRO,,,,,0.1895462954545925,13,"Sagawa2020, facility as group, min-max loss"
IRM,,,,,0.1978160980095035,13,"Arjovsky2019, facility as environment, lambda=1.0"
GroupDRO,,,,,0.18954629545459256,13,"Sagawa2020, facility as group, min-max loss"
