m,BF_S5_S1,n_below,n_above,liu2024_frac_above
0.05,,0,114,
0.060000000000000005,,0,114,
0.07,,1,113,
0.08,,2,112,
0.09,19401.151234168,4,110,1.0
0.1,19401.151234168,4,110,1.0
0.11,6188631.927906757,8,106,1.0
0.12000000000000001,6188631.927906757,8,106,1.0
0.13,492612.8824238813,13,101,0.8
0.14,0.2368285960610866,20,94,0.8
0.15000000000000002,0.09424382306530388,22,92,0.8
0.16,0.09424382306530388,22,92,0.8
0.16999999999999998,0.10149743280476566,26,88,0.8
0.18,0.10149743280476566,26,88,0.8
0.19,0.10268185844383491,31,83,0.6
0.2,0.10268185844383491,31,83,0.6
0.21000000000000002,0.10268185844383491,31,83,0.6
0.22000000000000003,0.1260467388820916,46,68,0.6
0.22999999999999998,0.7996741210322957,63,51,0.4
0.24,0.7996741210322957,63,51,0.4
0.25,0.7996741210322957,63,51,0.4
0.26,2.0500585342563893,67,47,0.2
0.27,0.10393294181408683,74,40,0.2
0.28,0.09539728576910288,75,39,0.2
0.29,0.09775110745414636,80,34,0.0
0.3,0.09775110745414636,80,34,0.0
0.31,0.09775110745414636,80,34,0.0
0.32,0.09775110745414636,80,34,0.0
0.33,0.09383520381436891,83,31,0.0
0.33999999999999997,0.09383520381436891,83,31,0.0
0.35,0.09383520381436891,83,31,0.0
0.36,0.09416280125982823,84,30,0.0
0.37,0.09416280125982823,84,30,0.0
0.38,0.09416280125982823,84,30,0.0
0.39,0.09416280125982823,84,30,0.0
0.4,0.26146305339710296,89,25,0.0
