model,facility,n,rmse_orig,mape_pct
Cp_const_global,Liu2024,20,0.05193897567341826,60.20230750309638
Cp_const_global,Vrancik1968,41,0.10887227640615164,61.55644660786638
Cp_const_global,Xia2024,45,0.025372240022258345,505.7207955663006
Cp_const_global,Zheng2024,8,0.025583494254206817,41.60559296171055
Cp_const_global,ALL,114,0.07096688850089933,235.24685092247077
Cp_const_facility,Liu2024,20,0.007228777236487376,7.589440850827037
Cp_const_facility,Vrancik1968,41,0.07028495625798425,51.032753279834985
Cp_const_facility,Xia2024,45,0.011718575493397882,61.93163749892877
Cp_const_facility,Zheng2024,8,0.007020531757292252,6.717012510241662
Cp_const_facility,ALL,114,0.042935897852470234,44.60343411424126
Cp_const_geometry,Liu2024,20,0.007228777236487376,7.589440850827037
Cp_const_geometry,Vrancik1968,41,0.047380853112662366,27.221854599859974
Cp_const_geometry,Xia2024,45,0.0019392668607631583,6.620036538063316
Cp_const_geometry,Zheng2024,8,0.007020531757292252,6.717012510241662
Cp_const_geometry,ALL,114,0.028661881933878905,14.206338595663
Cp_global_power,Liu2024,20,0.04062870624781669,44.17854541393611
Cp_global_power,Vrancik1968,41,0.04420735832975703,33.68915729239144
Cp_global_power,Xia2024,45,0.008585243478280337,82.10883488331785
Cp_global_power,Zheng2024,8,0.02923927026794791,33.18716130415806
Cp_global_power,ALL,114,0.03288683611695613,54.6072036618363
Class_SR,Liu2024,20,0.006692103679305013,6.8619922472308525
Class_SR,Vrancik1968,41,0.04255100940026894,22.49266046109962
Class_SR,Xia2024,45,0.001549217036082963,5.861344839042055
Class_SR,Zheng2024,8,0.0049741919291303605,4.773426499183304
Class_SR,ALL,114,0.02572386315498121,11.941989943860177
Vrancik_1968_corr,Liu2024,20,0.08153434579499377,95.56806557257579
Vrancik_1968_corr,Vrancik1968,41,0.13237393016210783,95.23864490816106
Vrancik_1968_corr,Xia2024,45,0.014084661109361718,67.07373029434632
Vrancik_1968_corr,Zheng2024,8,0.05471451594433653,93.36236162369703
Vrancik_1968_corr,ALL,114,0.08807246643995081,84.04703955194105
Daily_Nece_1960,Liu2024,20,0.08232198556342255,96.49183929157567
Daily_Nece_1960,Vrancik1968,41,0.13415026854360076,97.08613055929047
Daily_Nece_1960,Xia2024,45,0.014418294812167472,73.11412191007499
Daily_Nece_1960,Zheng2024,8,0.055330079277916874,94.41433139690052
Daily_Nece_1960,ALL,114,0.0892086323229662,87.3317392622018
